Source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
IRMA,1070,Jefferson Place Emergency Shelter,,,,4043495605,,,,,,33.7762417,-84.4246628,"1135 Jefferson St NW, Atlanta, GA 30318, USA",Atlanta,,30318,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,587,Jefferson Somerset School,,,,8509973555,,,,,,30.4908361,-83.8793921,"50 David Road, Monticello, FL 32344, USA",Monticello,,32344,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,882,Jennings Middle School,,,,badphone,,,,,,-82.32849,28.026215,9325 Governors Run Drive,Seffner,,,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,60,Jensen Beach High School,,,,badphone,,,,,,27.240703,-80.266796,"2875 NW Goldenrod Rd, Jensen Beach, FL 34957",Jensen Beach,,34957,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,57,Jessie P. Miller Elementary School,,,,9417413300,,,,,,27.493872,-82.6050387,601 43rd St W,Bradenton,,34209,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1123,Joe Wheeler State Park,,,,2562475466,,,,,,34.8115372,-87.3327118,"4401 McLean Dr, Rogersville, AL 35652, USA",Rogersville,,35652,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1164,John A. Ferguson Senior High School,,,,badphone,,,,,,25.7126998,-80.4520245,"15900 SW 56th St, Miami, FL 33185, USA",Miami,,33185,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,156,John Evans Elementary,,,,4076655102,,,,,,28.6417104,-81.2079478,100 E Chapman Rd,Oviedo,,32765,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,323,John Hopkins Middle School,,,,7278932400,,,,,,27.763221,-82.6585069,701 16th St. S.,Saint Petersburg,,33705,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,211,John I. Leonard High School,,,,5616411200,,,,,,26.6322677,-80.1182284,4701 10th Ave N,Greenacres,,33463,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,338,John Sexton Elementary School,,,,7275703400,,,,,,27.8229785,-82.6611234,1997 54th Ave. N.,Saint Petersburg,,33714,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,41,Johnson Middle School,,,,9417413344,,,,,,27.477777,-82.5398897,2121 26th Ave E,Bradenton,,34208,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,825,Johnston County Industries,,,,badphone,,,,,,35.514941,-78.3244349,"912 N Brightleaf Blvd, Smithfield, NC 27577, USA",Smithfield,,27577,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1155,Jones High School,,,,badphone,,,,,,28.533194,-81.399621,"801 Rio Grande Ave, Orlando, FL 32805, USA",Orlando,,32805,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,459,Jorge Mas Canosa Middle School ,,,,3054685900,,,,,,25.634073,-80.448483,"15735 SW 144th St, Miami, FL, United States",Miami,Florida,33196,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,369,Joseph L Carwise Middle School,,,,7277241442,,,,,,28.0886137,-82.7264014,3301 Bentley Dr.,Palm Harbor,,34684,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1103,Josh Gibson Youth and Family Resource Center,,,,2293149229,,,,,,32.3165835,-84.5085349,"116 Rogers St, Buena Vista, GA 31803, USA",Buena Vista,,31803,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1168,Joyce M Bullock Elementary School,,,,badphone,,,,,,29.3859896,-82.4515979,"130 SW 3rd St, Williston, FL 32696, USA",Williston,,32696,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,386,Julius Sprauve Elementary School,,,,3407766336,,,,,,18.331343,-64.7937497,Cruz Bay,Cruz Bay,,830,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1139,June Ates Arena,,,,badphone,,,,,,30.6360883,-86.9726264,"8604 Bobby Brown Rd, Milton, FL 32583, USA",Milton,,32583,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1007,Just Like Home Pet Hotel,,,,8637844066,,,,,,27.556313,-81.507524,"3479 Davis Citrus Rd, Avon Park, FL 33825, USA",Avon Park,,33825,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,621,Kanapaha Middle School,,,,3522646557,,,,,,29.607088,-82.4202348,"5005 SW 75th St, Gainesville, FL 32608, USA",Gainesville,,32608,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,847,Karen M. Siegal Academy,,,,badphone,,,,,,28.1065305,-81.7311491,"935 N Buena Vista Dr, Lake Alfred, FL 33850, USA",Lake Alfred,,33850,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1144,Kathleen Elementary,,,,8638536030,,,,,,28.1264931,-82.0183468,"3515 Sherertz Rd, Lakeland, FL 33810, USA",Lakeland,,33810,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1143,Kathleen High School,,,,badphone,,,,,,28.058028,-81.994278,"Florida 33805, USA",,,33805,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,709,Kelley Smith Elementary,,,,3863290568,,,,,,29.632749,-81.7064429,"141 Kelly Smith School Rd, Palatka, FL 32177, USA",Palatka,,32177,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
